dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,class_id,class_name,intersection_pixels,union_pixels,iou,is_foreground
165,2007_005360,jpeg_compression,mild,50.0,23.0206499633182,7,car,0,3,0.0,True
165,2007_005360,jpeg_compression,mild,50.0,23.0206499633182,19,train,40336,43809,0.920724052135406,True
165,2007_005360,jpeg_compression,medium,20.0,19.661595798742816,0,background,116072,119439,0.9718098778455948,False
165,2007_005360,jpeg_compression,medium,20.0,19.661595798742816,19,train,40704,44071,0.9236005536520614,True
165,2007_005360,jpeg_compression,severe,5.0,15.971848689239248,0,background,116036,122296,0.9488127166873814,False
165,2007_005360,jpeg_compression,severe,5.0,15.971848689239248,19,train,37847,44107,0.8580724148094406,True
165,2007_005360,low_light,mild,0.6,7.912621483795003,0,background,116232,118503,0.9808359282043493,False
165,2007_005360,low_light,mild,0.6,7.912621483795003,15,person,0,2,0.0,True
165,2007_005360,low_light,mild,0.6,7.912621483795003,19,train,41640,43909,0.9483249447721424,True
165,2007_005360,low_light,medium,0.35,3.707986287786511,0,background,116225,118714,0.9790336438836195,False
165,2007_005360,low_light,medium,0.35,3.707986287786511,15,person,0,4,0.0,True
165,2007_005360,low_light,medium,0.35,3.707986287786511,19,train,41429,43914,0.9434121236963156,True
165,2007_005360,low_light,severe,0.15,1.3856447386406903,0,background,114939,119116,0.9649333422881896,False
165,2007_005360,low_light,severe,0.15,1.3856447386406903,19,train,41027,45204,0.9075966728608088,True
167,2007_005430,gaussian_noise,mild,10.0,22.405615340731458,0,background,158817,163810,0.9695195653501008,False
167,2007_005430,gaussian_noise,mild,10.0,22.405615340731458,2,bicycle,1490,6457,0.23075731763977078,True
167,2007_005430,gaussian_noise,mild,10.0,22.405615340731458,5,bottle,0,169,0.0,True
167,2007_005430,gaussian_noise,mild,10.0,22.405615340731458,15,person,9749,10032,0.9717902711323764,True
167,2007_005430,gaussian_noise,medium,25.0,14.711473645844821,0,background,158597,163731,0.9686436899548649,False
167,2007_005430,gaussian_noise,medium,25.0,14.711473645844821,2,bicycle,1497,6536,0.2290391676866585,True
167,2007_005430,gaussian_noise,medium,25.0,14.711473645844821,5,bottle,0,169,0.0,True
167,2007_005430,gaussian_noise,medium,25.0,14.711473645844821,15,person,9810,10184,0.9632757266300078,True
167,2007_005430,gaussian_noise,severe,50.0,9.204030644330754,0,background,162611,164970,0.9857004303812814,False
167,2007_005430,gaussian_noise,severe,50.0,9.204030644330754,2,bicycle,361,2133,0.16924519456165027,True
167,2007_005430,gaussian_noise,severe,50.0,9.204030644330754,5,bottle,0,169,0.0,True
167,2007_005430,gaussian_noise,severe,50.0,9.204030644330754,15,person,9822,10458,0.9391853126792886,True
167,2007_005430,jpeg_compression,mild,50.0,18.429237638379387,0,background,158690,163776,0.9689453888237592,False
167,2007_005430,jpeg_compression,mild,50.0,18.429237638379387,2,bicycle,1513,6594,0.2294510160752199,True
167,2007_005430,jpeg_compression,mild,50.0,18.429237638379387,5,bottle,0,169,0.0,True
167,2007_005430,jpeg_compression,mild,50.0,18.429237638379387,15,person,9753,10029,0.9724798085551899,True
167,2007_005430,jpeg_compression,medium,20.0,15.188998550247568,0,background,158183,163741,0.9660561496509732,False
167,2007_005430,jpeg_compression,medium,20.0,15.188998550247568,2,bicycle,1549,6997,0.2213805916821495,True
167,2007_005430,jpeg_compression,medium,20.0,15.188998550247568,5,bottle,0,169,0.0,True
167,2007_005430,jpeg_compression,medium,20.0,15.188998550247568,15,person,9747,10138,0.9614322351548629,True
167,2007_005430,jpeg_compression,severe,5.0,12.630888849861066,0,background,162049,165408,0.9796926388082802,False
167,2007_005430,jpeg_compression,severe,5.0,12.630888849861066,2,bicycle,0,1590,0.0,True
167,2007_005430,jpeg_compression,severe,5.0,12.630888849861066,5,bottle,0,169,0.0,True
167,2007_005430,jpeg_compression,severe,5.0,12.630888849861066,15,person,9850,11458,0.8596613719671845,True
167,2007_005430,low_light,mild,0.6,7.903347049904021,0,background,158825,163882,0.9691424317496735,False
167,2007_005430,low_light,mild,0.6,7.903347049904021,2,bicycle,1507,6380,0.23620689655172414,True
167,2007_005430,low_light,mild,0.6,7.903347049904021,5,bottle,0,169,0.0,True
167,2007_005430,low_light,mild,0.6,7.903347049904021,15,person,9654,10107,0.9551795785099436,True
167,2007_005430,low_light,medium,0.35,3.7005515491801884,0,background,158912,163871,0.9697383917837812,False
167,2007_005430,low_light,medium,0.35,3.7005515491801884,2,bicycle,1503,6214,0.24187318957193435,True
167,2007_005430,low_light,medium,0.35,3.7005515491801884,5,bottle,0,169,0.0,True
167,2007_005430,low_light,medium,0.35,3.7005515491801884,15,person,9682,10173,0.9517349847635899,True
167,2007_005430,low_light,severe,0.15,1.3800736761606636,0,background,159146,163839,0.9713560263429343,False
167,2007_005430,low_light,severe,0.15,1.3800736761606636,2,bicycle,1488,5725,0.2599126637554585,True
167,2007_005430,low_light,severe,0.15,1.3800736761606636,5,bottle,0,169,0.0,True
167,2007_005430,low_light,severe,0.15,1.3800736761606636,15,person,9733,10424,0.9337106676899463,True
187,2007_006281,gaussian_noise,mild,10.0,24.826208228209854,0,background,137172,150267,0.9128551178901555,False
187,2007_006281,gaussian_noise,mild,10.0,24.826208228209854,4,boat,28383,41478,0.684290467235643,True
187,2007_006281,gaussian_noise,medium,25.0,16.994758989187314,0,background,138444,146506,0.9449715370018975,False
187,2007_006281,gaussian_noise,medium,25.0,16.994758989187314,4,boat,32144,40206,0.7994826642789633,True
187,2007_006281,gaussian_noise,severe,50.0,11.689509000985122,0,background,140144,148987,0.9406458281595038,False
187,2007_006281,gaussian_noise,severe,50.0,11.689509000985122,4,boat,29663,38506,0.7703474783150678,True
187,2007_006281,jpeg_compression,mild,50.0,29.083209667444066,0,background,136633,144945,0.9426541101797233,False
187,2007_006281,jpeg_compression,mild,50.0,29.083209667444066,4,boat,33705,42017,0.802175309993574,True
187,2007_006281,jpeg_compression,medium,20.0,25.99844264069693,0,background,137342,148855,0.9226562762419804,False
187,2007_006281,jpeg_compression,medium,20.0,25.99844264069693,4,boat,29795,41308,0.7212888544591847,True
187,2007_006281,jpeg_compression,severe,5.0,21.04056657627176,0,background,139432,149005,0.9357538337639677,False
187,2007_006281,jpeg_compression,severe,5.0,21.04056657627176,4,boat,29645,39218,0.755902901728798,True
